trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_20A_SoftRainSunset_Town05_HighVol,base,True,437,478.24608229785946,109.25,11.29166118979176,27.488510613093744,12.641585313796671,391.76908473350176,5.064496180234444,3.5878723904632026,10.393954369857564
auto_20A_SoftRainSunset_Town05_HighVol,e2e,True,877,478.82308806124956,219.25,7.876236114835742,27.816858751304245,8.260681287659505,651.0648589431006,4.274040071312201,2.9701603483986743,10.690054629169513
auto_20A_SoftRainSunset_Town05_HighVol,composed,True,604,479.07140314459554,151.0,11.452509016261052,27.81981192302023,11.38543218003618,532.8643106220385,4.678112431147278,3.5297970708900537,10.837748428429762
auto_20A_SoftRainSunset_Town05_HighVol,half_slow,True,602,478.0823870961782,150.5,11.459701337076684,26.232463774101127,12.000738776542446,610.2862297166571,5.391785270851346,4.056161990171303,11.32885275053971
auto_20A_SoftRainSunset_Town05_HighVol,slow,True,859,478.6814520986922,214.75,8.039335080294986,22.433446862946038,9.278130720963492,617.8362467554814,4.3916401600597474,2.8784418578529105,10.240000444117351
auto_20A_SoftRainSunset_Town05_HighVol,very_slow,True,911,479.273443153743,227.75,7.58496737604886,14.269451227197905,6.3902311319546445,712.8907549632258,4.0396234221144764,3.1309755849854186,8.99058475540909
auto_20A_SoftRainSunset_Town05_HighVol,riskfn1,True,819,478.9436636813598,204.75,8.438703021737417,27.647125322133554,11.15375331439017,683.7060355338314,4.9242906716128445,3.3400864386321145,10.76683002129616
auto_20A_SoftRainSunset_Town05_HighVol,riskfn2,True,585,477.79611724830846,146.25,11.788510134339113,27.647125322133554,12.578945449077604,526.0050857611284,4.93557137356592,3.5974262113338344,10.257164154292452
auto_20A_SoftRainSunset_Town05_HighVol,riskfn3,True,857,478.9229026861645,214.25,8.066400618989649,27.78851073870341,9.605480822409076,682.0616771796116,4.363494141945922,3.184997231210572,8.873151895347425
auto_20A_SoftRainSunset_Town05_HighVol,riskfn4,True,836,478.8201262535849,209.0,8.262701571037484,27.781774741611617,10.274827725693534,654.6936759642572,4.486663476673885,3.1335986529312,8.953646119719592
auto_20A_SoftRainSunset_Town05_HighVol,riskfn5,True,852,479.5354620919418,213.0,8.122337594795315,28.017081984823562,9.817862750571278,729.2532778306236,4.566075483668693,3.4250492183418912,9.229548057543843
