trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_19A_CloudySunset_Town05_HighVol,base,True,142,151.5928760304328,35.5,11.054617829926705,27.30255223440854,12.194450754355785,82.8150913728571,3.309195795971833,2.358279175776576,6.184441267053872
auto_19A_CloudySunset_Town05_HighVol,e2e,True,209,153.09995185306607,52.25,10.601344775840616,27.872735582524747,9.678773866659869,134.84901128270263,3.0975917701453883,2.59309000612011,5.730508507431255
auto_19A_CloudySunset_Town05_HighVol,composed,True,201,152.226487894069,50.25,10.97280740760866,27.98505906766778,12.053853319017744,117.52546712145515,3.2783817634344117,2.3539386086090546,5.52934071413987
auto_19A_CloudySunset_Town05_HighVol,half_slow,True,199,152.8551847756879,49.75,11.121437407025164,25.79098266784329,11.887258156904602,116.70931206907906,3.3289141535626037,2.3652274649811833,6.6399209208096845
auto_19A_CloudySunset_Town05_HighVol,slow,True,203,152.80666905413977,50.75,10.899846309410725,22.060020884368335,9.193978432557856,141.49576075653584,3.3200816140726785,2.804859115143927,6.920594081597464
auto_19A_CloudySunset_Town05_HighVol,very_slow,True,209,153.26787972688646,52.25,10.595480796874288,13.833036206137074,4.990590133364234,131.15610573895157,2.80274582988058,2.522187497726279,4.793966779641178
auto_19A_CloudySunset_Town05_HighVol,riskfn1,True,199,151.46970096570078,49.75,11.023667255276948,27.66683864483657,11.769943950180735,116.96684828743625,3.254397831613105,2.3681143490412144,5.7286110298446244
auto_19A_CloudySunset_Town05_HighVol,riskfn2,True,199,151.91737634222724,49.75,11.07151505068448,27.98505906766778,12.216278371984606,116.11270683707818,3.3175403724386987,2.3523343866524407,6.281317601977027
auto_19A_CloudySunset_Town05_HighVol,riskfn3,True,202,151.98974027886592,50.5,10.87694710785167,27.82913184070392,10.225536157479093,138.93382542384742,3.1964530129061037,2.7647331228451115,6.222213624553527
auto_19A_CloudySunset_Town05_HighVol,riskfn4,True,200,152.76992508431448,50.0,11.063772931316985,27.98505906766778,12.015616218689683,118.6642052909314,3.3555911851368285,2.3909901203413333,6.176409305118847
auto_19A_CloudySunset_Town05_HighVol,riskfn5,True,199,152.8380493583624,49.75,11.13050791456282,27.873340209933055,12.046080041325075,118.368902426261,3.297516266387726,2.3953049106637523,5.418048820690997
