trial,prefix,available,n_frames,total_distance_m,total_sim_time_s,avg_speed_kmh,max_speed_kmh,speed_std_kmh,risk_auc,risk_per_meter,mean_risk,max_risk
auto_19B_CloudySunset_Town05_LowVol,base,True,326,866.9129285273324,81.5,27.49026918262131,86.5378480853273,30.286458670269564,225.7034461622482,2.6401458348293416,2.776078817107106,9.401042275094783
auto_19B_CloudySunset_Town05_LowVol,e2e,True,255,133.13836081971922,63.75,7.5383722897110195,27.789454388448334,7.601500617528643,151.0310102423444,3.001919383452587,2.3822771418871267,5.451122718970528
auto_19B_CloudySunset_Town05_LowVol,composed,True,456,859.0767269476553,114.0,27.225253569559925,86.80826243964258,29.95077302826448,311.25987697187736,2.56000030078626,2.733678866249177,9.515018680415821
auto_19B_CloudySunset_Town05_LowVol,half_slow,True,796,861.7867213646826,199.0,15.636846008832947,76.51644746651318,24.71168925925181,468.16712636070724,2.513205170874235,2.3545634206261123,9.359025922218166
auto_19B_CloudySunset_Town05_LowVol,slow,True,831,864.1780427401599,207.75,15.018463933159392,58.3388866126765,20.339897082033783,446.2279194938109,2.3280463793244675,2.150048171695083,8.433989092807108
auto_19B_CloudySunset_Town05_LowVol,very_slow,True,1096,864.848176585145,274.0,11.379164283378355,40.80585346709582,14.431795609840607,523.0476875420784,2.1429881816057716,1.9104549581062977,6.0764142693078105
auto_19B_CloudySunset_Town05_LowVol,riskfn1,True,786,864.3897763767968,196.5,15.891678936948331,86.77640474861465,26.464185278403566,461.415949717606,2.5911724653023764,2.3502170278534327,9.40152889152942
auto_19B_CloudySunset_Town05_LowVol,riskfn2,True,456,862.6257979551332,114.0,27.338891413933833,86.78104654334359,30.191703826912153,316.2827615511926,2.5878813140396484,2.7785741067683194,9.014444029614443
auto_19B_CloudySunset_Town05_LowVol,riskfn3,True,787,863.6874487742405,196.75,15.86422717598432,86.77252308308759,25.883945695739946,488.34085456195083,2.5196488418739125,2.48449659533956,8.93483389760608
auto_19B_CloudySunset_Town05_LowVol,riskfn4,True,785,862.63011842782,196.25,15.879310318540872,86.75054129796344,26.432852698895193,446.9781994069296,2.4692604009657404,2.2799897690838966,8.188222449446434
auto_19B_CloudySunset_Town05_LowVol,riskfn5,True,785,862.2777184865504,196.25,15.878519129668016,86.67223483554066,26.410749916800945,453.85764497607266,2.4796403613690803,2.314958213505923,7.531217558576398
